銘柄,売/買,取引区分,数量,約定価格,建玉損益(円),金利調整額合計(円),価格調整額合計(円),ファンディングレート合計(円),米ドル円換算レート,受渡金額(円),受渡日,取引番号,約定日時,注文日時
金スポット,売,決済,20,"4,195.51","-22,321",0,0,0,155.245,"-22,321",2025/11/17,400000000386794,2025/11/13 8:20:21,2025/11/13 8:06:36
金スポット,売,決済,10,"4,126.25","11,098",0,0,0,154.34,"11,098",2025/11/14,400000000381486,2025/11/12 19:49:15,2025/11/12 19:49:15
金スポット,売,決済,20,"4,123.68","-4,181",0,0,0,154.044,"-4,181",2025/11/14,400000000379972,2025/11/12 16:16:40,2025/11/12 16:16:40
金スポット,売,決済,20,"4,137.87","-1,701",0,0,0,153.655,"-1,701",2025/11/14,400000000377597,2025/11/12 8:29:08,2025/11/12 8:29:08
金スポット,売,決済,10,"4,125.60","5,792",0,0,0,153.669,"5,792",2025/11/13,400000000370783,2025/11/11 9:31:25,2025/11/11 9:31:25
金スポット,売,決済,10,"4,125.60","16,749",0,0,0,153.669,"16,749",2025/11/13,400000000370782,2025/11/11 9:31:25,2025/11/11 9:31:25
金スポット,買,決済,20,"4,081.07","8,734",0,0,0,153.628,"8,734",2025/11/12,400000000367377,2025/11/10 23:33:10,2025/11/10 22:55:08
金スポット,売,決済,10,"4,092.76","-20,643",0,0,0,154.526,"-20,643",2025/11/12,400000000367045,2025/11/10 22:51:46,2025/11/10 22:19:11
金スポット,売,決済,0.1,"4,104.25","16,953",0,0,0,153.631,"16,953",2025/11/12,400000000366978,2025/11/10 22:06:18,2025/11/10 22:06:18
